categ_id,name,default_code,lst_price
MM,Maquillaje Líquido Pigmento Puro Botella con gotero x 20g. @Blanco,2811P-01,345
MM,Maquillaje Líquido Pigmento Puro Botella con gotero x 20g. @Amarillo,2811P-06,345
MM,Maquillaje Líquido Pigmento Puro Botella con gotero x 20g. @Marrón Africano,2811P-09,345
MM,Sombra Cremosa Duo Pomada para Cejas Petaca Dúo x 4g. @Cejas EXTRA  CLARAS   NUEVO!!,2912P-00,495
MM,Sombra Cremosa Duo Pomada para Cejas Petaca Dúo x 4g. @Cejas OSCURAS,2912P-01,495
MM,Sombra Cremosa Duo Pomada para Cejas Petaca Dúo x 4g. @Cejas CLARAS,2912P-02,495
MM,Tonalizador Correctivo Paleta 15 unid. x 4 g. c/u),1003P,2200
MM,"Tonalizador Correctivo Mini paleta -6 unid. x 2,5 g. c/u @Arts. 2001P-01-05-03-04-07-08",1005P-01,729
MM,"Tonalizador Correctivo Mini paleta -6 unid. x 2,5 g. c/u @Arts. 2001P-06-11-12-02-13-09",1005P-02,729
MM,"Tonalizador Correctivo Mini paleta -6 unid. x 2,5 g. c/u @Arts. 1701R-01-02-05-06-07 / 2001P-12",1005P-03,729
MM,"PALETAS PROFESIONALES @Sombra Compacta - Paleta de tonos ""Fantasía"" -14 unid. (x 4g.c/u.) -FULL COLOR    ",1105P,3250
MM,"PALETAS PROFESIONALES @Sombra Compacta - Paleta de tonos ""Nude"" -14 unid. (x 4g.c/u.)   NUEVA COMBINACION",1106P,3250
MM,"PALETAS PROFESIONALES @Sombra Compacta - Paleta de tonos ""Nude Atemporal""-15 unid. (x 4g.c/u.) HD",1107P,3500
MM,"PALETAS PROFESIONALES @Sombra Compacta - Paleta de tonos de ""Temporada"" -15 unid. (x 4g.c/u.) HD NUEVA COMBINACION",1108P,3500
MM,"PALETAS PROFESIONALES @Sombra Compacta - Paleta de tonos de ""Temporada"" -15 unid. (x 4g.c/u.) HD",1109P,3500
